RFMScore,Customer ID,Frequency,Recency,R,M,F,Monetary
222,79511,7,2.0,2,2,2,314.0
221,1103,5,15.0,1,2,2,232.0
212,60074,2,4.0,2,2,1,192.0
211,9360,2,17.0,1,2,1,179.0
122,73727,6,3.0,2,1,2,55.0
121,1854,4,15.0,1,1,2,51.0
112,384687,2,5.0,2,1,1,46.0
111,135673,1,18.0,1,1,1,40.0
